Record #,Full Citation,Title,Authors,Journal,Year,DOI,Category,Therapeutic area,Medical Condition,Concept of Interest,Outcome Assessment,Comparator Measure,Technology,Sensor(s),Make and Model,Wear location,Algorithm / Analysis Software,Sample size,Participant age,Participant gender
115,"Author: Arefin, M. R., Tavakolian, K. and Fazel-Rezai, R.
Year: 2015
Title: QRS complex detection in ECG signal for wearable devices
Journal: Conf Proc IEEE Eng Med Biol Soc
Volume: 2015
Pages: 5940-3
",QRS complex detection in ECG signal for wearable devices,"Arefin, M. R., Tavakolian, K. and Fazel-Rezai, R.",Conf Proc IEEE Eng Med Biol Soc,2015,http://doi.org/10.1109/EMBC.2015.7319744,Algorithm development,Cardiology,Arrhythmias,Arrhythmia detection,QRS complex detection,Pan and Tompkins algorithm; Afonso algorithm,Wearable,Electrocardiogram (ECG) electrodes,,,MATLAB,47,Not specified,Not specified
126,"Author: Atallah, L., Wiik, A., Lo, B., Cobb, J. P., Amis, A. A. and Yang, G. Z.
Year: 2014
Title: Gait asymmetry detection in older adults using a light ear-worn sensor
Journal: Physiol Meas
Volume: 35
Issue: 5
Pages: N29-40
",Gait asymmetry detection in older adults using a light ear-worn sensor,"Atallah, L., Wiik, A., Lo, B., Cobb, J. P., Amis, A. A. and Yang, G. Z.",Physiol Meas,2014,https://doi.org/10.1088/0967-3334/35/5/N29,Algorithm development; Sensor performance,Musculoskeletal; Orthopedics/Orthopedic Surgery; Rheumatology,Osteoarthritis,Gait asymmetry,Gait cycle time; Step-period asymmetry,Force-plate; Instrumented treadmill,Wearable,Tri-axial accelerometer,,Ear,MATLAB,64,Adults; Older Adults,Both
145,"Author: Bahr, D. E., Webster, J. G., Grady, D., Kronenberg, F., Creasman, J., Macer, J., Shults, M., Tyler, M. and Zhou, X.
Year: 2014
Title: Miniature ambulatory skin conductance monitor and algorithm for investigating hot flash events
Journal: Physiol Meas
Volume: 35
Issue: 2
Pages: 95-110
",Miniature ambulatory skin conductance monitor and algorithm for investigating hot flash events,"Bahr, D. E., Webster, J. G., Grady, D., Kronenberg, F., Creasman, J., Macer, J., Shults, M., Tyler, M. and Zhou, X.",Physiol Meas,2014,https://doi.org/10.1088/0967-3334/35/2/95,Algorithm development; Sensor performance,Endocrinology; Obstetrics/Gynecology (Women’s Health),Menopause,Hot flash events,Number of hot flash events,7-day self-reported hot flash diary,Adhesive patch, Hydrogel electrodes,Simplex Scientific Bahr Monitor,Sternum,MATLAB,37,Adults,Female
153,"Author: Bailey, T., Bode, B. W., Christiansen, M. P., Klaff, L. J. and Alva, S.
Year: 2015
Title: The Performance and Usability of a Factory-Calibrated Flash Glucose Monitoring System
Journal: Diabetes Technol Ther
Volume: 17
Issue: 11
Pages: 787-94
",The Performance and Usability of a Factory-Calibrated Flash Glucose Monitoring System,"Bailey, T., Bode, B. W., Christiansen, M. P., Klaff, L. J. and Alva, S.",Diabetes Technol Ther,2015,https://doi.org/10.1089/dia.2014.0378,Operational feasibility; Sensor performance,Endocrinology,Type 1 diabetes; Type 2 diabetes,Glucose monitoring,Accuracy of glucose measurements; Patient ease of use; Patient satisfaction,Capillary blood glucose measurements; Venous blood samples measured with Yellow Springs Instrument analyzer,Continuous glucose monitor,Interstitial sensor,"Abbott Diabetes Care, FreeStyle Libre Flash",Arm,SAS v9.2,75,Adults; Older Adults,Not specified
154,"Author: Bailey, T. S., Chang, A. and Christiansen, M.
Year: 2015
Title: Clinical accuracy of a continuous glucose monitoring system with an advanced algorithm
Journal: J Diabetes Sci Technol
Volume: 9
Issue: 2
Pages: 209-14
",Clinical accuracy of a continuous glucose monitoring system with an advanced algorithm,"Bailey, T. S., Chang, A. and Christiansen, M.",J Diabetes Sci Technol,2015,https://doi.org/10.1177/1932296814559746,Algorithm development; Operational feasibility; Sensor performance,Endocrinology,Type 1 diabetes; Type 2 diabetes,Glucose monitoring,"Accuracy, reliability and consistency of blood glucose measurements; Sensor life; Device related adverse events",Venous blood samples measured with Yellow Springs Instrument analyzer,Continuous glucose monitor,Interstitial sensor,"Dexcom, G4 Platinum",Abdomen,SAS v9.1.3,51,Adults; Older Adults,Both
155,"Author: Bailey, T. S., Ahmann, A., Brazg, R., Christiansen, M., Garg, S., Watkins, E., Welsh, J. B. and Lee, S. W.
Year: 2014
Title: Accuracy and acceptability of the 6-day Enlite continuous subcutaneous glucose sensor
Journal: Diabetes Technol Ther
Volume: 16
Issue: 5
Pages: 277-83
",Accuracy and acceptability of the 6-day Enlite continuous subcutaneous glucose sensor,"Bailey, T. S., Ahmann, A., Brazg, R., Christiansen, M., Garg, S., Watkins, E., Welsh, J. B. and Lee, S. W.",Diabetes Technol Ther,2014,https://doi.org/10.1089/dia.2013.0222,Operational feasibility; Sensor performance,Endocrinology,Type 1 diabetes; Type 2 diabetes,Glucose monitoring; Sensor wearability,Accuracy of glucose concentration; Detection of hypoglycemia and hyperglycemia; Patient satisfaction 7-point Likert-type questionnaire; Sensor safety,Plasma blood samples measured with Yellow Springs Instrument analyzer,Continuous glucose monitor,Interstitial sensor,"Medtronic MiniMed, Inc., Enlite",Abdomen; Buttocks ,,90,Adults; Older Adults,Both
169,"Author: Banerjee, T., Peterson, M., Oliver, Q., Froehle, A. and Lawhorne, L.
Year: 2018
Title: Validating a Commercial Device for Continuous Activity Measurement in the Older Adult Population for Dementia Management
Journal: Smart Health (Amst)
Volume: 5-6
Pages: 51-62
",Validating a Commercial Device for Continuous Activity Measurement in the Older Adult Population for Dementia Management,"Banerjee, T., Peterson, M., Oliver, Q., Froehle, A. and Lawhorne, L.",Smart Health (Amst),2018,https://doi.org/10.1016/j.smhl.2017.11.001,Algorithm development; Sensor performance,Musculoskeletal; Neurology,Dementia; Mild to moderate cognitive impairment; Mobility impairment,Activity monitoring; Behavior monitoring,Heart rate; Respiration rate; Minute ventilation; Cadence in steps per minute; Activity,"Laboratory motion capture system with Motion Analysis Corp, Osprey cameras; Metabolic chart, SensorMedics, Vmax;  Polar, Heart rate monitor",Smart clothing,Accelerometer,Hexoskin vest,Chest,Cortext software; Hexoskin software,40,Older Adults,Both
175,"Author: Baque, E., Sakzewski, L., Trost, S. G., Boyd, R. N. and Barber, L.
Year: 2017
Title: Validity of Accelerometry to Measure Physical Activity Intensity in Children With an Acquired Brain Injury
Journal: Pediatr Phys Ther
Volume: 29
Issue: 4
Pages: 322-329
",Validity of Accelerometry to Measure Physical Activity Intensity in Children With an Acquired Brain Injury,"Baque, E., Sakzewski, L., Trost, S. G., Boyd, R. N. and Barber, L.",Pediatr Phys Ther,2017,https://doi.org/10.1016/j.smhl.2017.11.001,Algorithm development; Sensor performance,Musculoskeletal; Neurology; Pediatrics,Acquired brain injury; Non-traumatic brain injury; Stoke; Traumatic brain injury,Physical activity monitoring,"Oxygen consumption, accelerations and heart rate at rest, during self selected walking speeds and during rapid stepping on and off a block; Participant perceived exertion using the Pictorial Child Effort Rating; Accuracy of activity intensity cut-points","Previously published child cut-points, not specified ",Wearable,Tri-axial accelerometer; Heart rate monitor; Indirect calorimeter,"ActiGraph, GTX3+; Polar Electro Oy, RS400; Cortex, MetaMax 3B",Chest; Face; Hip,MATLAB; SPSS v22.0; STATA v12.0,27,"Children; Adolescents
",Both
176,"Author: Baque, E., Barber, L., Sakzewski, L. and Boyd, R. N.
Year: 2016
Title: Reproducibility in measuring physical activity in children and adolescents with an acquired brain injury
Journal: Brain Inj
Volume: 30
Issue: 13-14
Pages: 1692-1698
",Reproducibility in measuring physical activity in children and adolescents with an acquired brain injury,"Baque, E., Barber, L., Sakzewski, L. and Boyd, R. N.",Brain Inj,2016,https://doi.org/10.1080/02699052.2016.1201594,Algorithm development; Sensor performance,Musculoskeletal; Neurology; Pediatrics,Acquired brain injury; Non-traumatic brain injury; Stoke; Traumatic brain injury,Physical activity monitoring,"Accelerations and heart rate at rest, during different walking speeds and during self selected rapid stepping on and off a block",Standardized laboratory assessments; Patient activity diary,Wearable,Tri-axial accelerometer; Heart rate monitor,"ActiGraph, GT3X+; Polar Electro Oy, RS400",Waist; Chest,"ActiGraph, ActiLife software; MATLAB",32,"Children; Adolescents
",Both
185,"Author: Lopez-Blanco, R., Velasco, M. A., Mendez-Guerrero, A., Romero, J. P., Del Castillo, M. D., Serrano, J. I., Benito-Leon, J., Bermejo-Pareja, F. and Rocon, E.
Year: 2018
Title: Essential tremor quantification based on the combined use of a smartphone and a smartwatch: The NetMD study
Journal: J Neurosci Methods
Volume: 303
Pages: 95-102
",Essential tremor quantification based on the combined use of a smartphone and a smartwatch: The NetMD study,"Lopez-Blanco, R., Velasco, M. A., Mendez-Guerrero, A., Romero, J. P., Del Castillo, M. D., Serrano, J. I., Benito-Leon, J., Bermejo-Pareja, F. and Rocon, E.",J Neurosci Methods,2018,https://doi.org/10.1016/j.jneumeth.2018.02.015,Algorithm development; Operational feasibility; Software development,Musculoskeletal; Neurology,Essential tremor,Tremor quantification,Tremor intensity and frequency; Patient acceptance and satisfaction,Scored video using Fahn-Tolosa-Marin Tremor Rating Scale (FTM-TRS),Smart watch; Smart phone,Tri-axial accelerometer; Tri-axial gyroscope; App,"Sony, Smartwatch3 ; Android; Custom NetMD system ",Wrist; Waist,MATLAB  v7.11.0 R2010b; R v1.0.136,34,Adults; Older Adults,Both
